stage,metric,value,ci_lower,ci_upper
search,true_positives,92,,
search,false_negatives,61,,
search,false_positives,677,,
search,recall,0.6013071895424836,0.5221567130978318,0.675494930343704
search,precision,0.11963589076723016,0.09856772088523531,0.1444854480953165
abstract,true_positives,91,,
abstract,false_negatives,1,,
abstract,false_positives,490,,
abstract,recall_in_search,0.9891304347826086,0.9409707111384389,0.9980787204236383
abstract,recall_all_meta,0.5947712418300654,0.5155814171802062,0.6693185073296177
abstract,precision,0.1566265060240964,0.12933937730343922,0.1884246121254933
fulltext,true_positives,84,,
fulltext,false_negatives,2,,
fulltext,false_positives,351,,
fulltext,additional_false_negatives,2,,
fulltext,missing_full_text,5,,
fulltext,incomplete_full_text,0,,
fulltext,false_negatives_all_texts,8,,
fulltext,false_negatives_fulltext_only,2,,
fulltext,omitted_incomplete_fulltext,0,,
fulltext,recall_in_search,0.9767441860465116,0.9191182859198535,0.993599207980522
fulltext,recall_fulltext_only,0.9767441860465116,0.9191182859198535,0.993599207980522
fulltext,absolute_recall_all_texts,0.9130434782608695,0.8376957293056827,0.9552793462356269
fulltext,recall_all_meta,0.5490196078431373,0.46993466614950324,0.6257032258383367
fulltext,precision,0.19310344827586207,0.15876014200178673,0.23281987229038614
fulltext,precision_fulltext_only,0.19310344827586207,0.15876014200178673,0.23281987229038614
fulltext_with_coords,true_positives,34,,
fulltext_with_coords,false_negatives,52,,
fulltext_with_coords,false_positives,127,,
fulltext_with_coords,omitted_incomplete_fulltext,0,,
fulltext_with_coords,recall_in_search,0.3953488372093023,0.2986226463755625,0.5010247330121598
fulltext_with_coords,recall_all_meta,0.2222222222222222,0.16360628328727117,0.29444566211496903
fulltext_with_coords,precision,0.2111801242236025,0.15524132563958232,0.28058069986854184
