stage,metric,value,ci_lower,ci_upper
search,true_positives,238,,
search,false_negatives,0,,
search,false_positives,248,,
search,recall,1.0,0.9841152225258184,0.9999999999999999
search,precision,0.4897119341563786,0.44552287474950564,0.5340623626006908
abstract,true_positives,237,,
abstract,false_negatives,1,,
abstract,false_positives,138,,
abstract,recall_in_search,0.9957983193277311,0.9765874128692085,0.9992579338370651
abstract,recall_all_meta,0.9957983193277311,0.9765874128692085,0.9992579338370651
abstract,precision,0.632,0.5820795583963813,0.6792433797392406
fulltext,true_positives,231,,
fulltext,false_negatives,2,,
fulltext,false_positives,104,,
fulltext,additional_false_negatives,2,,
fulltext,missing_full_text,1,,
fulltext,incomplete_full_text,3,,
fulltext,false_negatives_all_texts,7,,
fulltext,false_negatives_fulltext_only,2,,
fulltext,omitted_incomplete_fulltext,3,,
fulltext,recall_in_search,0.9914163090128756,0.9692480247785785,0.9976429268110073
fulltext,recall_fulltext_only,0.9914163090128756,0.9692480247785785,0.9976429268110073
fulltext,absolute_recall_all_texts,0.9705882352941176,0.940544558194804,0.9856815335942015
fulltext,recall_all_meta,0.9705882352941176,0.940544558194804,0.9856815335942015
fulltext,precision,0.6895522388059702,0.6380916806593893,0.7367147185548748
fulltext,precision_fulltext_only,0.6895522388059702,0.6380916806593893,0.7367147185548748
fulltext_with_coords,true_positives,152,,
fulltext_with_coords,false_negatives,81,,
fulltext_with_coords,false_positives,44,,
fulltext_with_coords,omitted_incomplete_fulltext,3,,
fulltext_with_coords,recall_in_search,0.6523605150214592,0.5891882307610816,0.7105901865439863
fulltext_with_coords,recall_all_meta,0.6386554621848739,0.5758670184904403,0.6970388835545344
fulltext_with_coords,precision,0.7755102040816326,0.7121218394178983,0.8283061795731426
