project,manual_annotation,arm,autonima_run,auto_column,broad_arm,dice,pearson_r,r2,studies,points,voxels
executive_function,all,autonima,v3,pooled_executive_function,all:all_analyses,0.7388,0.9102,0.8285,425,15102,902629
executive_function,all,baseline_sub,v3,pooled_executive_function,all:all_analyses,0.6807,0.8914,0.7945,780,30094,902629
executive_function,all,baseline_broad,v3,pooled_executive_function,all:all_analyses,0.6807,0.8914,0.7945,780,30094,902629
executive_function,working_memory,autonima,v3,working_memory,all:all_analyses,0.6931,0.8851,0.7834,228,8132,902629
executive_function,working_memory,baseline_sub,v3,working_memory,all:all_analyses,0.6529,0.8657,0.7494,363,15421,902629
executive_function,working_memory,baseline_broad,v3,working_memory,all:all_analyses,0.5723,0.8375,0.7014,780,30094,902629
executive_function,inhibition,autonima,v3,inhibition,all:all_analyses,0.6001,0.7854,0.6169,114,2601,902629
executive_function,inhibition,baseline_sub,v3,inhibition,all:all_analyses,0.5177,0.7771,0.6038,235,8280,902629
executive_function,inhibition,baseline_broad,v3,inhibition,all:all_analyses,0.4136,0.7987,0.638,780,30094,902629
executive_function,flexibility,autonima,v3,cognitive_flexibility,all:all_analyses,0.242,0.5826,0.3394,33,864,902629
executive_function,flexibility,baseline_sub,v3,cognitive_flexibility,all:all_analyses,0.254,0.547,0.2992,35,1568,902629
executive_function,flexibility,baseline_broad,v3,cognitive_flexibility,all:all_analyses,0.0742,0.5089,0.259,780,30094,902629
