project,run,family,stage,gold_total,gold_surviving,cumulative_recall,artifact_present
cue_reactivity,v6,canonical,search,191,178,0.9319,yes
cue_reactivity,v6,canonical,abstract,191,174,0.911,yes
cue_reactivity,v6,canonical,retrieval,191,168,0.8796,yes
cue_reactivity,v6,canonical,fulltext,191,163,0.8534,yes
decision_making,v3,canonical,search,153,92,0.6013,yes
decision_making,v3,canonical,abstract,153,92,0.6013,yes
decision_making,v3,canonical,retrieval,153,87,0.5686,yes
decision_making,v3,canonical,fulltext,153,85,0.5556,yes
dementia,v3,canonical,search,74,71,0.9595,yes
dementia,v3,canonical,abstract,74,70,0.9459,yes
dementia,v3,canonical,retrieval,74,66,0.8919,yes
dementia,v3,canonical,fulltext,74,63,0.8514,yes
emotion_regulation_2022,v4,canonical,search,88,79,0.8977,yes
emotion_regulation_2022,v4,canonical,abstract,88,79,0.8977,yes
emotion_regulation_2022,v4,canonical,retrieval,88,75,0.8523,yes
emotion_regulation_2022,v4,canonical,fulltext,88,73,0.8295,yes
executive_function,v3,canonical,search,171,127,0.7427,yes
executive_function,v3,canonical,abstract,171,112,0.655,yes
executive_function,v3,canonical,retrieval,171,68,0.3977,yes
executive_function,v3,canonical,fulltext,171,67,0.3918,yes
problem_solving,v2,canonical,search,126,111,0.881,yes
problem_solving,v2,canonical,abstract,126,105,0.8333,yes
problem_solving,v2,canonical,retrieval,126,81,0.6429,yes
problem_solving,v2,canonical,fulltext,126,73,0.5794,yes
social,v3,canonical,search,238,226,0.9496,yes
social,v3,canonical,abstract,238,225,0.9454,yes
social,v3,canonical,retrieval,238,222,0.9328,yes
social,v3,canonical,fulltext,238,221,0.9286,yes
vbm_of_ptsd,v1,canonical,search,21,18,0.8571,yes
vbm_of_ptsd,v1,canonical,abstract,21,18,0.8571,yes
vbm_of_ptsd,v1,canonical,retrieval,21,17,0.8095,yes
vbm_of_ptsd,v1,canonical,fulltext,21,16,0.7619,yes
vbm_of_substance_use,v2,canonical,search,79,71,0.8987,yes
vbm_of_substance_use,v2,canonical,abstract,79,67,0.8481,yes
vbm_of_substance_use,v2,canonical,retrieval,79,65,0.8228,yes
vbm_of_substance_use,v2,canonical,fulltext,79,63,0.7975,yes
