project,run,stage,gold_total,n_surviving,n_attainable,supply_lost_here,recall_attainable,recall_raw
cue_reactivity,v6,search,191,178,178,0,1.0,0.931937
cue_reactivity,v6,abstract,191,174,178,0,0.977528,0.910995
cue_reactivity,v6,fulltext,191,163,172,6,0.947674,0.853403
cue_reactivity,v6,annotation,191,128,141,31,0.907801,0.670157
decision_making,v3,search,153,92,92,0,1.0,0.601307
decision_making,v3,abstract,153,92,92,0,1.0,0.601307
decision_making,v3,fulltext,153,85,87,5,0.977011,0.555556
decision_making,v3,annotation,153,57,69,18,0.826087,0.372549
dementia,v3,search,74,71,71,0,1.0,0.959459
dementia,v3,abstract,74,70,71,0,0.985915,0.945946
dementia,v3,fulltext,74,63,67,4,0.940299,0.851351
dementia,v3,annotation,74,28,37,30,0.756757,0.378378
emotion_regulation_2022,v4,search,88,79,79,0,1.0,0.897727
emotion_regulation_2022,v4,abstract,88,79,79,0,1.0,0.897727
emotion_regulation_2022,v4,fulltext,88,73,75,4,0.973333,0.829545
emotion_regulation_2022,v4,annotation,88,54,58,17,0.931034,0.613636
executive_function,v3,search,171,127,127,0,1.0,0.74269
executive_function,v3,abstract,171,112,127,0,0.88189,0.654971
executive_function,v3,fulltext,171,67,83,44,0.807229,0.391813
executive_function,v3,annotation,171,54,71,12,0.760563,0.315789
problem_solving,v2,search,126,111,111,0,1.0,0.880952
problem_solving,v2,abstract,126,105,111,0,0.945946,0.833333
problem_solving,v2,fulltext,126,73,87,24,0.83908,0.579365
problem_solving,v2,annotation,126,63,78,9,0.807692,0.5
social,v3,search,238,226,226,0,1.0,0.94958
social,v3,abstract,238,225,226,0,0.995575,0.945378
social,v3,fulltext,238,221,223,3,0.991031,0.928571
social,v3,annotation,238,139,149,74,0.932886,0.584034
vbm_of_ptsd,v1,search,21,18,18,0,1.0,0.857143
vbm_of_ptsd,v1,abstract,21,18,18,0,1.0,0.857143
vbm_of_ptsd,v1,fulltext,21,16,17,1,0.941176,0.761905
vbm_of_ptsd,v1,annotation,21,6,9,8,0.666667,0.285714
vbm_of_substance_use,v2,search,79,71,71,0,1.0,0.898734
vbm_of_substance_use,v2,abstract,79,67,71,0,0.943662,0.848101
vbm_of_substance_use,v2,fulltext,79,63,69,2,0.913043,0.797468
vbm_of_substance_use,v2,annotation,79,47,61,8,0.770492,0.594937
