pmid,type,source,full_text_path,in_included_set
11998736,incomplete,/home/zorro/repos/autonima-results/projects/dementia/ace_outputs/html,/home/zorro/repos/autonima-results/projects/dementia/ace_outputs/html/Manual/11998736.html,True
20352396,incomplete,/home/zorro/repos/autonima-results/projects/dementia/ace_outputs/html,/home/zorro/repos/autonima-results/projects/dementia/ace_outputs/html/Manual/20352396.html,True
27707194,incomplete,/home/zorro/repos/autonima-results/projects/dementia/ace_outputs/html,/home/zorro/repos/autonima-results/projects/dementia/ace_outputs/html/Manual/27707194.html,True
31105553,incomplete,/home/zorro/repos/autonima-results/projects/dementia/ace_outputs/html,/home/zorro/repos/autonima-results/projects/dementia/ace_outputs/html/Manual/31105553.html,True
32410545,incomplete,/home/zorro/repos/autonima-results/projects/dementia/ace_outputs/html,/home/zorro/repos/autonima-results/projects/dementia/ace_outputs/html/Current medical imaging/32410545.html,True
10417247,unavailable,pubget,,True
10940680,unavailable,pubget,,True
11032614,unavailable,pubget,,True
12080488,unavailable,pubget,,True
14716732,unavailable,pubget,,True
15084791,unavailable,pubget,,True
15178942,unavailable,pubget,,True
15178945,unavailable,pubget,,True
15536300,unavailable,pubget,,True
15570509,unavailable,pubget,,True
15722899,unavailable,pubget,,True
16237363,unavailable,pubget,,True
16340203,unavailable,pubget,,True
16534206,unavailable,pubget,,True
16534207,unavailable,pubget,,True
16908994,unavailable,pubget,,True
16914925,unavailable,pubget,,True
17099602,unavailable,pubget,,True
17381257,unavailable,pubget,,True
17479980,unavailable,pubget,,True
18044582,unavailable,pubget,,True
18166607,unavailable,pubget,,True
18176077,unavailable,pubget,,True
18617738,unavailable,pubget,,True
18802798,unavailable,pubget,,True
19163793,unavailable,pubget,,True
19202337,unavailable,pubget,,True
20539026,unavailable,pubget,,True
21252550,unavailable,pubget,,True
21592050,unavailable,pubget,,True
22368970,unavailable,pubget,,True
22425723,unavailable,pubget,,True
22986775,unavailable,pubget,,True
23406695,unavailable,pubget,,True
23455991,unavailable,pubget,,True
23945233,unavailable,pubget,,True
24569686,unavailable,pubget,,True
25322925,unavailable,pubget,,True
25511791,unavailable,pubget,,True
25520437,unavailable,pubget,,True
26473985,unavailable,pubget,,True
26653846,unavailable,pubget,,True
26738361,unavailable,pubget,,True
26859768,unavailable,pubget,,True
26890749,unavailable,pubget,,True
26939631,unavailable,pubget,,True
27157704,unavailable,pubget,,True
27454622,unavailable,pubget,,True
27567869,unavailable,pubget,,True
29172002,unavailable,pubget,,True
30040708,unavailable,pubget,,True
32325519,unavailable,pubget,,True
8693972,unavailable,pubget,,True
8708683,unavailable,pubget,,True
9152110,unavailable,pubget,,True
9829574,unavailable,pubget,,True
