project,arm,run,manual_analysis,auto_analysis,n_analyses,n_studies,dice,pearson_r,r2,r_allfinite,r2_allfinite,r2_nonzero,n_brain
dementia,full text,v3,all,dementia_all,115,45,0.3919,0.5351,0.2863,0.5959,0.3551,0.127,235375
dementia,record + evidence,v3-record-with-evidence,all,dementia_all,88,40,0.4715,0.6439,0.4146,0.6889,0.4746,0.2346,235375
dementia,"record, no evidence",v3-record-no-evidence,all,dementia_all,71,35,0.4778,0.6431,0.4136,0.6865,0.4712,0.2198,235375
dementia,"query, strict",query-strict,all,dementia_all,73,33,0.506,0.6811,0.4639,0.7192,0.5173,0.2757,235375
dementia,"query, permissive",query-permissive,all,dementia_all,290,70,0.4335,0.5939,0.3527,0.6511,0.424,0.1754,235375
dementia,baseline,baselines/all,all,all_analyses,293,177,0.4129,0.5559,0.3091,0.6197,0.384,0.1414,235375
dementia,full text,v3,decrease,dementia_decreasing_activity,81,45,0.3577,0.5529,0.3057,0.6088,0.3706,0.0936,235375
dementia,record + evidence,v3-record-with-evidence,decrease,dementia_decreasing_activity,66,38,0.3555,0.5681,0.3228,0.6203,0.3848,0.1089,235375
dementia,"record, no evidence",v3-record-no-evidence,decrease,dementia_decreasing_activity,61,34,0.3846,0.5753,0.331,0.6247,0.3902,0.1022,235375
dementia,"query, strict",query-strict,decrease,dementia_decreasing_activity,54,26,0.4048,0.5919,0.3504,0.637,0.4057,0.2134,235375
dementia,"query, permissive",query-permissive,decrease,dementia_decreasing_activity,266,69,0.3033,0.5042,0.2542,0.5717,0.3268,0.1128,235375
dementia,baseline,baselines/decrease,decrease,all_analyses,293,177,0.2861,0.5113,0.2615,0.5802,0.3367,0.0864,235375
dementia,full text,v3,functional,functional,37,14,0.2625,0.5077,0.2577,0.5565,0.3097,0.0446,235375
dementia,record + evidence,v3-record-with-evidence,functional,functional,29,12,0.3161,0.4711,0.222,0.5262,0.2768,0.0292,235375
dementia,"record, no evidence",v3-record-no-evidence,functional,functional,29,11,0.2482,0.4742,0.2249,0.5246,0.2752,0.0263,235375
dementia,"query, strict",query-strict,functional,functional,38,14,0.3857,0.6091,0.371,0.6516,0.4246,0.1505,235375
dementia,"query, permissive",query-permissive,functional,functional,97,26,0.2867,0.5016,0.2516,0.5554,0.3084,0.0299,235375
dementia,baseline,baselines/functional,functional,all_analyses,231,139,0.1345,0.3926,0.1541,0.4729,0.2236,0.0287,235375
dementia,full text,v3,structural,structural,81,36,0.2822,0.4512,0.2036,0.5221,0.2726,0.0399,235375
dementia,record + evidence,v3-record-with-evidence,structural,structural,60,32,0.402,0.5968,0.3562,0.6465,0.418,0.1424,235375
dementia,"record, no evidence",v3-record-no-evidence,structural,structural,42,27,0.3789,0.5875,0.3451,0.6319,0.3994,0.1361,235375
dementia,"query, strict",query-strict,structural,structural,31,21,0.3788,0.5801,0.3365,0.6275,0.3937,0.1965,235375
dementia,"query, permissive",query-permissive,structural,structural,169,49,0.3235,0.5187,0.2691,0.5863,0.3438,0.0952,235375
dementia,baseline,baselines/structural,structural,all_analyses,272,157,0.3006,0.511,0.2611,0.5834,0.3403,0.1025,235375
