project_name,status,reason,run_count,fair_id_count,manual_meta_status,compare_status,compare_return_code,project_report_dir,project_report_html,compare_log_path,dice_mean_diagonal_avg,pearson_mean_diagonal_avg
cue_reactivity,success,completed,1,148,cached,success,0,/home/zorro/repos/autonima-results/projects/cue_reactivity/reports/manual_vs_auto_meta_fair,/home/zorro/repos/autonima-results/projects/cue_reactivity/reports/manual_vs_auto_meta_fair/manual_vs_auto_meta_report.html,/home/zorro/repos/autonima-results/projects/cue_reactivity/reports/manual_vs_auto_meta_fair/fair_manual_meta/logs/compare_meta_to_benchmark.log,0.698715,0.864618
decision_making,success,completed,1,57,cached,success,0,/home/zorro/repos/autonima-results/projects/decision_making/reports/manual_vs_auto_meta_fair,/home/zorro/repos/autonima-results/projects/decision_making/reports/manual_vs_auto_meta_fair/manual_vs_auto_meta_report.html,/home/zorro/repos/autonima-results/projects/decision_making/reports/manual_vs_auto_meta_fair/fair_manual_meta/logs/compare_meta_to_benchmark.log,0.390089,0.619693
dementia,success,completed,3,39,cached,success,0,/home/zorro/repos/autonima-results/projects/dementia/reports/manual_vs_auto_meta_fair,/home/zorro/repos/autonima-results/projects/dementia/reports/manual_vs_auto_meta_fair/manual_vs_auto_meta_report.html,/home/zorro/repos/autonima-results/projects/dementia/reports/manual_vs_auto_meta_fair/fair_manual_meta/logs/compare_meta_to_benchmark.log,0.436510,0.717185
emotion_regulation_2022,success,completed,1,48,recomputed,success,0,/home/zorro/repos/autonima-results/projects/emotion_regulation_2022/reports/manual_vs_auto_meta_fair,/home/zorro/repos/autonima-results/projects/emotion_regulation_2022/reports/manual_vs_auto_meta_fair/manual_vs_auto_meta_report.html,/home/zorro/repos/autonima-results/projects/emotion_regulation_2022/reports/manual_vs_auto_meta_fair/fair_manual_meta/logs/compare_meta_to_benchmark.log,0.603494,0.787102
executive_function,success,completed,2,69,cached,success,0,/home/zorro/repos/autonima-results/projects/executive_function/reports/manual_vs_auto_meta_fair,/home/zorro/repos/autonima-results/projects/executive_function/reports/manual_vs_auto_meta_fair/manual_vs_auto_meta_report.html,/home/zorro/repos/autonima-results/projects/executive_function/reports/manual_vs_auto_meta_fair/fair_manual_meta/logs/compare_meta_to_benchmark.log,0.560563,0.776055
problem_solving,success,completed,2,49,cached,success,0,/home/zorro/repos/autonima-results/projects/problem_solving/reports/manual_vs_auto_meta_fair,/home/zorro/repos/autonima-results/projects/problem_solving/reports/manual_vs_auto_meta_fair/manual_vs_auto_meta_report.html,/home/zorro/repos/autonima-results/projects/problem_solving/reports/manual_vs_auto_meta_fair/fair_manual_meta/logs/compare_meta_to_benchmark.log,0.573532,0.756033
social,success,completed,6,153,cached,success,0,/home/zorro/repos/autonima-results/projects/social/reports/manual_vs_auto_meta_fair,/home/zorro/repos/autonima-results/projects/social/reports/manual_vs_auto_meta_fair/manual_vs_auto_meta_report.html,/home/zorro/repos/autonima-results/projects/social/reports/manual_vs_auto_meta_fair/fair_manual_meta/logs/compare_meta_to_benchmark.log,0.533454,0.731054
template_,skipped,template project is not a real run target,0,0,not_run,not_run,,,,,0.000000,0.000000
vbm_of_ptsd,success,completed,1,10,cached,success,0,/home/zorro/repos/autonima-results/projects/vbm_of_ptsd/reports/manual_vs_auto_meta_fair,/home/zorro/repos/autonima-results/projects/vbm_of_ptsd/reports/manual_vs_auto_meta_fair/manual_vs_auto_meta_report.html,/home/zorro/repos/autonima-results/projects/vbm_of_ptsd/reports/manual_vs_auto_meta_fair/fair_manual_meta/logs/compare_meta_to_benchmark.log,0.874787,0.910444
vbm_of_substance_use,success,completed,1,53,cached,success,0,/home/zorro/repos/autonima-results/projects/vbm_of_substance_use/reports/manual_vs_auto_meta_fair,/home/zorro/repos/autonima-results/projects/vbm_of_substance_use/reports/manual_vs_auto_meta_fair/manual_vs_auto_meta_report.html,/home/zorro/repos/autonima-results/projects/vbm_of_substance_use/reports/manual_vs_auto_meta_fair/fair_manual_meta/logs/compare_meta_to_benchmark.log,0.488415,0.746246
