pmid,type,source,full_text_path,in_included_set
21098967,incomplete,/home/zorro/repos/autonima-results/projects/decision_making/ace_outputs,/home/zorro/repos/autonima-results/projects/decision_making/ace_outputs/html/Manual/21098967.html,True
11133312,unavailable,pubget,,True
11595100,unavailable,pubget,,True
11906224,unavailable,pubget,,True
15486494,unavailable,pubget,,True
16180619,unavailable,pubget,,True
16839292,unavailable,pubget,,True
17007234,unavailable,pubget,,True
18832559,unavailable,pubget,,True
19048446,unavailable,pubget,,True
19176813,unavailable,pubget,,True
19184997,unavailable,pubget,,True
19552309,unavailable,pubget,,True
19897796,unavailable,pubget,,True
20805539,unavailable,pubget,,True
22486330,unavailable,pubget,,True
25205006,unavailable,pubget,,True
25670029,unavailable,pubget,,True
26359751,unavailable,pubget,,True
