stage,metric,value,ci_lower,ci_upper
search,true_positives,49,,
search,false_negatives,30,,
search,false_positives,309,,
search,recall,0.620253164556962,0.5100166778257305,0.7193366905302645
search,precision,0.13687150837988826,0.10510223734903411,0.17635130475336647
abstract,true_positives,48,,
abstract,false_negatives,1,,
abstract,false_positives,116,,
abstract,recall_in_search,0.9795918367346939,0.8930623153224584,0.9963884204614692
abstract,recall_all_meta,0.6075949367088608,0.4973378852028524,0.707873023326196
abstract,precision,0.2926829268292683,0.2284292638268606,0.36642683859351666
fulltext,true_positives,46,,
fulltext,false_negatives,2,,
fulltext,false_positives,54,,
fulltext,additional_false_negatives,2,,
fulltext,missing_full_text,0,,
fulltext,incomplete_full_text,0,,
fulltext,false_negatives_all_texts,3,,
fulltext,false_negatives_fulltext_only,2,,
fulltext,omitted_incomplete_fulltext,0,,
fulltext,recall_in_search,0.9583333333333334,0.8602408885222853,0.9884983479210344
fulltext,recall_fulltext_only,0.9583333333333334,0.8602408885222853,0.9884983479210344
fulltext,absolute_recall_all_texts,0.9387755102040817,0.8347925657791229,0.9789602350444708
fulltext,recall_all_meta,0.5822784810126582,0.47219053936580124,0.6847354495093532
fulltext,precision,0.46,0.36560643853331865,0.5573531460647615
fulltext,precision_fulltext_only,0.46,0.36560643853331865,0.5573531460647615
fulltext_with_coords,true_positives,42,,
fulltext_with_coords,false_negatives,6,,
fulltext_with_coords,false_positives,21,,
fulltext_with_coords,omitted_incomplete_fulltext,0,,
fulltext_with_coords,recall_in_search,0.875,0.7529927291394518,0.9414302824959915
fulltext_with_coords,recall_all_meta,0.5316455696202531,0.42271215907094595,0.6376439904964211
fulltext_with_coords,precision,0.6666666666666666,0.5436701013442413,0.7705055018729168
